排行,视频标题,视频地址,作者,播放数,弹幕数,硬币数,点赞数,分享数,收藏数
60,悬赏六万，但检举曼乔尼可能一美元也拿不到，而美国民众很开心,https://www.bilibili.com/video/BV1tAqYY6Erv,波士顿圆脸,1196215,9599,6563,76248,1777,5953
61,无极帝国长公主怎么会怕冷呢？,https://www.bilibili.com/video/BV1iHqSYaE3H,王墨绫子,1727003,370,1432,100816,1417,32217
62,当你熟练掌握厄斐琉斯各种武器,https://www.bilibili.com/video/BV1LHqSYYEwx,热气re7,607337,6138,25444,84453,967,4049
63,【2024明日方舟仙术杯#6】赛事前瞻,https://www.bilibili.com/video/BV1enqSYAEdT,龙哥哥今天又鸽了,512290,2759,35480,55107,12641,10691
64,当你考研时，遇到1+1,https://www.bilibili.com/video/BV1Xtq6YiE6N,万年逍遥人,1108544,229,1570,136417,6248,35322
65,“找不到答案的时候，就去看看世界吧~”,https://www.bilibili.com/video/BV1e5q1YDEBx,唯美风景线,877345,13,2618,10104,167,64051
66,从春天拍到冬天 直观看到猫咪体重和年龄的变化,https://www.bilibili.com/video/BV19GqCY5ESL,独生子的日常,2133751,97,1150,162068,4740,15020
67,被我大招扎起来你不炸了吗？！！,https://www.bilibili.com/video/BV1qLqmYZEMM,佐悠-Leisurely,878617,983,8657,73854,1465,8847
68,【emo神曲合集】“我的眼泪从来没有因为幸福而流泪过”,https://www.bilibili.com/video/BV1Cfq2YzEUu,苹明,411395,117,4926,13895,22,81356
69,是的，全世界独一份！给你们讲最新“主线剧情”【瑞克和莫蒂】,https://www.bilibili.com/video/BV1wFBMY8E3v,安迪视频,361567,1286,58816,54834,3106,17749
70,【野外生存】户外实用技能！如何自制无烟无味的木炭？,https://www.bilibili.com/video/BV1PwqSYjEQv,野外求生基里尔,594023,95,2025,115560,771,45564
71,开箱600元“网红巨桶泡面”！！,https://www.bilibili.com/video/BV1daqGYFEWM,穿毛裤的小拉泽,2147293,4062,14148,59056,1485,37545
72,【出苍白海】EP-EX-1至EP-EX-8突袭 摆完挂机 简单好抄,https://www.bilibili.com/video/BV1mWq8YbET9,萧然Q,2469115,1864,24439,30806,1021,6845
73,火柴人刀影教学,https://www.bilibili.com/video/BV1XLqCYGEci,小叨叨火柴人,1546850,219,4488,21925,236,116857
74,第十集（机甲的诞生）,https://www.bilibili.com/video/BV1LNqzYeET5,小新动画,1445037,286,2192,11371,55,29792
75,在家咬了6人的小柯基，来狗场接受再教育，没想到它先给我上一课,https://www.bilibili.com/video/BV1aWqmYpEpA,豫西小丁,1984588,2216,3555,30824,1104,19055
76,谜底缓缓揭开,https://www.bilibili.com/video/BV1tcqhYPEyj,脱缰凯Kk,1069484,1027,3518,96352,771,8715
77,你化身诺亚人间体 在各个奥特曼副本里拯救世界,https://www.bilibili.com/video/BV1puq6YSEna,磷火动漫,935639,1848,3941,13444,197,57730
78,坏了，这个梗也被学到了,https://www.bilibili.com/video/BV1mfqUY7EPu,盛一金,617054,581,843,111011,781,3627
79,危险世界第一期,https://www.bilibili.com/video/BV1bvqSYXEX3,佳楠很难,1101120,660,2066,11825,110,29423
80,节奏感小曲｜感觉至上 撼动你的心脏,https://www.bilibili.com/video/BV1BaqqYTEyS,温暖年轻的时光,512205,13,3582,10613,130,57910
81,【2024十大综艺名场面】爆笑盘点,https://www.bilibili.com/video/BV1ofqbY1Erk,一只吐槽圆,1205739,12854,9859,54048,10999,8069
82,《崩坏：星穹铁道》TGA参展视频：「你所不曾抵达的世界」,https://www.bilibili.com/video/BV1yqBMYPENa,崩坏星穹铁道,662016,1832,25848,83311,6743,13708
83,是的，我有一个女儿。。,https://www.bilibili.com/video/BV14qqSYHEaK,知名相声演员BBBBB大王,1334659,2472,7297,64326,2864,4993
84,‘年 度 热 门 游 戏 现 状’,https://www.bilibili.com/video/BV1KhBMYuEXN,进击的金厂长,1056086,2243,8887,56817,708,16542
